artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Christina Perri;A Thousand Years;285120;2011;139.028;pop;0.407;10;-7.445
Nickelback;Savin' Me;219320;2005;164.007;rock, metal;0.815;3;-4.088
Lil Jon & The East Side Boyz;Lovers And Friends;260600;2004;139.861;hip hop, pop;0.501;10;-6.183
Pedro Capó;Calma - Remix;238200;2018;126.899;pop, latin;0.773;11;-4.218
Nelly;Hot In Herre;228240;2002;107.075;hip hop, pop, R&B;0.745;11;-4.753
benny blanco;Eastside (with Halsey & Khalid);173799;2018;89.391;hip hop, pop;0.68;6;-7.648
Flume;Never Be Like You;233337;2016;116.838;Dance/Electronic;0.558;0;-5.436
Alien Ant Farm;Smooth Criminal;209266;2001;126.928;rock, metal;0.964;9;-4.261
Creed;Higher;316733;1999;155.827;pop, rock, metal;0.83;2;-6.254
Sia;The Greatest (feat. Kendrick Lamar);210226;2016;191.944;pop;0.725;1;-6.127
Nelly;Over And Over;253933;2004;169.799;hip hop, pop, R&B;0.517;7;-10.02
Britney Spears;Till the World Ends;237946;2011;131.951;pop;0.705;8;-5.747
Vanessa Carlton;A Thousand Miles;237493;2002;94.931;Folk/Acoustic, pop;0.825;11;-3.862
Chamillionaire;Ridin';303053;2005;143.052;hip hop, pop;0.799;8;-4.68
Fergie;Glamorous;246600;2006;130.993;pop, R&B;0.757;0;-6.447
Gym Class Heroes;Ass Back Home (feat. Neon Hitch);222213;2011;130.034;hip hop, pop;0.838;10;-4.289
Lady Gaga;Born This Way;260253;2011;123.907;pop;0.828;11;-5.108
Daddy Yankee;Gasolina;192600;2004;96.009;latin;0.801;0;-6.499
Mary J. Blige;No More Drama;326240;2001;97.914;pop, R&B;0.837;6;-6.818
Fergie;Clumsy;240426;2006;184.009;pop, R&B;0.563;2;-4.046
